club_code,state,reporting_group_company_level
135,ID,Independent
135,IL,Independent
135,IN,Independent
135,KS,Independent
135,KY,Independent
135,LA,Independent
135,MA,Independent
135,MD,Independent
135,ME,Independent
074,PA,AAA NE
074,PR,AAA NE
074,RI,AAA NE
074,SC,AAA NE
116,WY,Independent
116,ZZ,Independent
117,AK,Independent
117,AL,Independent
117,AR,Independent
117,AZ,Independent
117,CA,Independent
117,CO,Independent
117,CT,Independent
117,DC,Independent
117,DE,Independent
117,FL,Independent
117,GA,Independent
117,HI,Independent
036,IN,ACE
036,KS,ACE
036,KY,ACE
036,LA,ACE
036,MA,ACE
036,MD,ACE
036,ME,ACE
036,MI,ACE
036,MN,ACE
036,MO,ACE
036,MS,ACE
036,MT,ACE
036,NC,ACE
036,ND,ACE
036,NE,ACE
036,NH,ACE
036,NJ,ACE
036,NM,ACE
036,NV,ACE
036,OH,ACE
036,OK,ACE
036,OR,ACE
036,PA,ACE
036,PR,ACE
036,RI,ACE
036,SC,ACE
036,SD,ACE
036,TN,ACE
036,TX,ACE
036,UT,ACE
036,VA,ACE
036,VI,ACE
036,VT,ACE
036,WA,ACE
036,WI,ACE
036,WV,ACE
074,SD,AAA NE
074,TN,AAA NE
074,TX,AAA NE
074,UT,AAA NE
074,VA,AAA NE
074,VI,AAA NE
074,VT,AAA NE
074,WA,AAA NE
117,MI,Independent
117,MN,Independent
117,MO,Independent
117,MS,Independent
117,MT,Independent
117,NC,Independent
117,ND,Independent
117,NE,Independent
117,NH,Independent
117,NJ,Independent
117,NM,Independent
117,NV,Independent
117,OH,Independent
117,OK,Independent
117,OR,Independent
117,PA,Independent
117,PR,Independent
117,RI,Independent
117,SC,Independent
117,SD,Independent
117,TN,Independent
117,TX,Independent
117,UT,Independent
117,VA,Independent
117,VI,Independent
117,VT,Independent
176,TN,ACA
176,TX,ACA
176,UT,ACA
176,VA,ACA
176,VI,ACA
176,VT,ACA
176,WA,ACA
176,WI,ACA
176,WV,ACA
176,WY,ACA
176,ZZ,ACA
177,AK,Independent
177,AL,Independent
066,OK,MWG
066,OR,MWG
066,PA,MWG
066,PR,MWG
066,RI,MWG
066,SC,MWG
066,SD,MWG
066,TN,MWG
066,TX,MWG
066,UT,MWG
075,MI,AAA NE
177,MD,Independent
177,ME,Independent
177,MI,Independent
177,MN,Independent
177,MO,Independent
177,MS,Independent
177,MT,Independent
177,NC,Independent
177,ND,Independent
177,NE,Independent
